filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
26_12-20.mp4,Вино SAN VALENTIN Гарнача кр. сух. (Испания) 0. 75L,1473.63,1099.99,нет,нет,-25%,270103031659,нет,нет,Сухое,red,К,86388,2041.4,839.1,2398.3,1211.5,нет,,,,,нет,,нет,,нет,нет
26_12-20.mp4,Вино MATSU EI Recio выдерж. кр. сух. (Испания) 0. 75L,3413.68,2794.99,нет,8437008695891,-18%,270103448126,нет,01_025015 - 026016,Сухое,red,Ш,86388,2070.5,28.2,2404.2,396.8,8437008695891,3413.68,3242.99,,2794.99,нет,,нет,,нет,нет
26_12-20.mp4,Вино PECCATORE Пеккаторе Дору выдерж. кр. сух. (Португалия) 0. 75L,1684.2,1223.99,нет,5604242009491,-27%,270103445734,12.02.2026 4:02,нет ,Сухое,red,нет,86388,278.1,1525.8,479.8,1816.8,5604242009491,1684.2,1599.99,,1223.99,нет,,нет,,нет,нет
26_12-20.mp4,Вино PORTAL DEL MONTSANT Сантес кр. сух. (Испания) 0. 75L,2631.57,1699.99,нет,8437008807546,-35%,270103709967,13.10.2025 12:12,026005 - 026013,Сухое,red,Ш,86388,210.2,1029.2,396.4,1327.9,8437008807546,2631.57,,,1699.99,нет,,нет,,нет,нет
26_12-20.mp4,Вино MUCHO MAS кр. п/ сух. (Испания) 0. 75L,1513.69,1199.99,нет,8410702068468,-20%,270103722683,нет,01_025015 - 026016,Полусухое,red,К,86388,202.4,676.1,388.6,986.5,8410702068468,1513.69,1437.99,,1199.99,нет,,нет,,нет,нет
26_12-20.mp4,Вино ROQUETA Эстасьонес Темпранильо орд. сорт. кр. сух. (Испания) 0. 75L,999.99,785.99,нет,8411106085310,-21%,270103740229,нет,026017 - 026013,Сухое,red,К,86388,245.1,63.1,460.4,371.6,8411106085310,999.99,949.99,,785.99,нет,,нет,,нет,нет
26_12-20.mp4,Вино SATIS DEI VDT Кастилья кр. сух. (Испания) 0. 75L,1789.47,1239.99,нет,8436033846674,-30%,270103573328,25.01.2026 0:58,025017 - 026016,Сухое,red,К,87976,261.7,28.5,464.6,334.8,8436033846674,1789.47,1699.99,,1239.99,нет,,нет,,нет,нет
26_2-10.mp4,Вино HAUT MARIN Colombard Ugni-blanc Littorine ордин. бел. сух. (Франция) 0. 75L,1473.68,1104.99,нет,3760094282559,-25%,нет,нет,01_025 002 - 025 003,Сухое,red,К,0,2051.8,1930.7,2285.3,2140.8,3760094282559,1473.68,1399.99,,1104.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино HAUT MARIN
Colombard Ugni-
blanc Littorine ордин.
бел. сух. (Франция)
0. 75L",1747.36,1104.99,нет,3760094282559,-36%,нет,28.01.2026 14:45,нет,Сухое,red,К,0,2081.8,1466.9,2318.7,1710.5,3760094282559,1747.36,,,1104.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино HAUT MARIN
Совиньон Блан Перл серии 0 сорт. орд. бел. сух. (Франция)
0. 75L",1684.21,1299.99,нет,3760094282528,-22%,нет,нет,нет,нет,red,нет,0,2101.8,1073.3,2362.0,1353.5,3760094282528,1684.21,,,1299.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PURE
ALTITUDE Совиньон
Блан бел. сух
(Франция) 0. 75L",2315.78,1499.99,нет,3700619352626,-35%,нет,нет,01_025 010,нет,red,Ш,0,2138.5,639.5,2362.0,893.1,3700619352626,2315.78,2199.99,,1499.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PURE
ALTITUDE
Шардоне бел. сух.
(Франция) 0. 75L",2315.78,1499.99,нет,3700619352626,-35%,нет,03.02.2026 2:51,01_025 010,Сухое,red,К,0,2131.8,85.7,2385.4,322.6,3700619352640,2315.78,2199.99,,1499.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино REMY PANNIER
Sauvignon Валь де
Луаре сортовое ордин. бел. сух
(Франция) 0. 75L",1578.99,1374.99,нет,3221580008317,-12%,270108704080,25.03.2026 14:45,01_025 010 - 025 012,Сухое,red,К,2067,817.4,669.6,1014.2,919.8,3221580008317,1578.99,1499.99,,1374.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино BANFI
Principessa Gavia
Gavi Принцесса
Гавиа орд. сорт. бел. сух. (Италия) 0. 75L",2631.57,1849.99,нет,8000016010569,-29%,нет,03.04.2026 3:08,01_025 009,Полусухое,red,Ш,6875,2119.6,1514.8,2315.3,1702.7,8000016010569,2361.57,2499.99,,1849.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино ARAGOSTA
Верментино ди
Сарденья бел. сух.
(Италия) 0. 75L",3157.89,2039.99,нет,8001487001100,-35%,нет,11.03.2026 2:48,нет,Сухое,red,нет,6875,2135.2,1162.5,2342.7,1377.8,8001487001100,3157.89,2999.99,,2039.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино GAVI DEI
GAVI бел. сух.
(Италия) 0. 75L",7368.49,6289.99,нет,4690491111055,-14%,нет,03.04.2026 3:04,01_025 009,Сухое,red,Ш,6875,2150.9,872.8,2338.8,1084.2,4690491111055,7368.49,6999.99,,6289.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино LE RIME
Тоскана ординарное бел.
сух. (Италия) 0. 75L",2315.78,1749.99,нет,4690491103319,-24%,270109220586,03.04.2026 2:57,01_025 009,Сухое,red,К,6875,2139.1,520.5,2350.5,716.2,4690491103319,2315.78,2199.99,,1749.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PRIARA
Пино Гриджио ординар. бел. сух.
(Италия) 0. 75L",2631.57,1999.99,нет,4690491103593,-24%,нет,09.12.2025 2:02,нет,"Сухое, Пино Гриджио",red,нет,6875,2158.7,109.5,2350.5,485.3,4690491103593,2631.57,,,1999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино SANT ORSOLA
Пино Гриджио сортовое бел. сух.
(Италия) 0. 75L",1578.94,999.99,нет,8005415001064,-36%,нет,03.04.2026 3:08,01_025 009,Сухое,red,К,14167,2078.8,1760.1,2262.4,1921.9,8005415001064,1578.94,1499.99,,999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино STELLA
BELLA Пино
Гриджио бел. сух.
(Италия) 0. 75L",1473.68,899.99,нет,8005890806703,-38%,270109701123,20.02.2026 19:54,01_025 009,Сухое,red,К,14167,2087.5,1467.3,2293.0,1642.1,8005890806703,1473.68,1399.99,,899.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино SANTA
CRISTINA Vermentino
Тоскана IGT ордин. сорт. бел.
сух. (Италия) 0. 75L",2299.99,1999.99,нет,8001935011569,-13%,нет,03.04.2026 3:04,01_025 009,Сухое,red,Ш,14167,2126.9,872.8,2310.5,1060.8,8001935011569,2299.99,2184.99,,1999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PRIMOSOLE
Пино Гриджно Терре
Сичиалиане сорт.
ординар. бел. сух
(Италия) 0. 75L",1299.99,1099.99,нет,8002153231203,-15%,270109598580,20.02.2026 19:32,01_025 009,Сухое,red,К,14167,2140.0,549.3,2328.0,754.8,8002153231203,1299.99,1234.99,,1099.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино MAXALE
Мачерато Шардоне
copт. бел. п/ cyx
(Италия) 0. 75L",2210.52,1631.99,нет,8052432832690,-26%,270109748732,нет,01_025 009,нет,red,Ш,14167,2140.0,243.3,2323.6,422.6,8052432832690,2210.52,2099.99,,1631.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино
DONNAFUGATA
Антилия Сицилия ординар. бел. сух
(Италия) 0. 75L",4210.59,2189.99,нет,4690491214428,-47%,нет,24.03.2026 20:43,01_025 009,Сухое,red,Ш,17396,2129.2,863.2,2298.4,1056.2,4690491214428,4210.59,3999.99,,2189.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино
FRESCOBALDI
Тоскана бел. сух. (Италия) 0. 75L",2105.26,1599.99,нет,4690491111550,-24%,нет,нет,01_025 009,Сухое,red,Ш,17396,2129.2,609.4,2298.4,809.1,4690491111550,2105.26,1999.99,,1599.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PFEFFERER
Пфефферер орд
бел. п/ сух
(Италия) 0. 75L",2510.52,1899.99,нет,4690491212776,-24%,нет,нет,01_025 009,Полусухое,red,Ш,17396,2142.7,274.3,2305.2,443.5,4690491212776,2510.52,2384.99,,1899.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино BATASIOLO
Granee Гави дель
Комуне ди Гави бел. сух. (Италия) 0. 75L",2842.1,1899.99,нет,8002020005265,-33%,нет,нет,нет,Сухое,red,нет,19479,2107.3,239.8,2268.5,421.5,8002020005265,2842.1,,,1899.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино SCALA Tenuta
Sant' Ant Garg Chard
орд. ИЖТ Тревенеция бел. п/ сух. (Италия) 0. 75L",3157.89,1639.0,нет,4680114010698,-48%,нет,нет,нет,Полусухое,red,нет,26406,2056.6,1742.1,2216.8,1893.9,4680114010698,3157.89,2999.99,,1639.0,нет,,нет,,нет,нет
26_2-10.mp4,"Вино COME IL VENTO
Совиньон дель
Поджиарелло Эмилия-Романья IGT бел. п/ сух. (Италия) 0. 75L",2105.26,1699.99,нет,8003971000996,-19%,нет,нет,01_025 009,Полусухое,red,Ш,26406,2069.2,1497.6,2229.4,1683.1,8003971000996,2105.26,1999.99,,1699.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино MALAMIGO
Леди Драма ординар. бел. п/ сух.
(Испания) 0. 75L",1452.63,1199.99,нет,8436013811067,-17%,нет,26.01.2026 1:21,01_025 008,Полусухое,red,К,26406,2124.1,464.8,2288.5,667.1,8436013811067,1452.63,1379.99,,1199.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино CARE
Кариньена
Шардонне сорт. бел. сух. (Ислания) 0. 75L",2105.26,1499.99,нет,8437003701054,-28%,нет,24.02.2026 11:05,01_025 008,нет,red,К,26406,2124.1,51.7,2280.0,262.4,8437003701054,2105.26,1999.99,,1499.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PEDRA DA AUGA
Альбариньо Риас
Байшас DO ординарное сортовое бел. сух.
(Испания) 0. 75L",2631.57,1899.99,нет,8413060005342,-27%,нет,08.10.2025 12:04,нет,Сухое,red,нет,29792,2073.9,909.4,2250.2,1090.4,8413060005342,2631.57,,,1899.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PRIORITARIO
Виньо Верде ДОК бел. п/ сух.
(Португалия) 0. 75L",1263.15,719.99,нет,5600302596284,-43%,нет,05.03.2026 11:52,01_025 008,Полусухое,red,К,29792,2097.1,575.2,2278.1,784.1,5600302596284,1263.15,,,719.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино BIENBEBIDO
PULPO ординар.
бел. п/ сух.
(Испания) 0. 75L",2105.26,1632.99,нет,8437003857706,-22%,нет,05.01.2026 0:52,01_025 008,Полусухое,red,К,31771,2115.2,646.1,2298.3,857.1,8437003857706,2105.26,1999.99,,1632.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино GATAO бел. п/ сух.
(Португалия) 0.75L",1684.2,1223.99,нет,5601129032009,-27%,нет,01.04.2026 0:41,01_025 008,Полусухое,red,К,31771,2131.4,381.7,2316.9,590.4,5601129032009,1684.2,1599.99,,1223.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино LE GRAND
NOIR Ле Гран Нуар
Шардоне
ординарное бел.
сух. (Франция) 0. 75L",1736.84,1299.99,нет,4690491216866,-25%,нет,25.03.2026 14:45,01_025 010-025 012,Сухое,red,К,0,757.3,1807.2,987.5,2034.1,4690491216866,1736.84,1649.99,,1299.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино JARDIN DES CHARMES
SAUVIGNON ИГП Пэй
Кото де Безье бел. сух. (Франция) 0. 75L",1789.47,1429.99,нет,3760143147686,-20%,нет,26.02.2026 1:12,01_025 002-025 003,Сухое,red,К,0,727.3,1310.1,937.5,1577.0,3760143147686,1789.47,1699.99,,1429.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино ВАЛЛИ
СОВИНЬОН БЛАН
ИГП Долина Луары сорт. бел. сух.
(Франция) 0. 75L",1789.47,1584.99,нет,3507110012727,-11%,нет,26.02.2026 1:12,01_025 002-025 003,Сухое,red,К,0,734.0,999.9,940.8,1240.1,3507110012727,1789.47,1699.99,,1584.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино LES NUAGES
Совиньон Блан
Турэн сорт. бел. сух.
(Франция) 0. 75L",2315.79,1529.99,нет,3149070037381,-33%,нет,нет,01_025 010-025 012,нет,red,Ш,0,787.3,442.7,970.8,679.6,3149070037381,2315.79,2199.99,,1529.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино HENRI
BOURGEDIS
Sancerre ординарное
бел. сух. (Франция)
0. 75L",7884.29,5299.99,нет,4690491197929,-32%,нет,25.03.2026 14:45,нет,Сухое,red,нет,0,814.0,229.2,1027.5,452.7,4690491197929,7884.29,7489.99,,5299.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино CHATEAU DE LA
THEBAUDIERE Долина
Луары Мюскаде Севр э
Мэн сор Ли АОП сорт.
бел. сух. (Франция) 0. 75L",3157.89,2299.99,нет,3077052101020,-27%,нет,08.11.2025 1:36,нет,Сухое,red,нет,2067,2151.9,486.1,2385.4,763.0,3077052101020,3157.89,2999.99,,2299.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино NICOLA
BERGAGLIO Минайя Гави
ДОКГ Дель Комуне
ДиГавиРоверето сорт орд бел сух (Италия) 0. 75L",1894.79,1529.99,нет,8058340400013,-19%,нет,26.03.2026 13:06,01_025 009,Сухое,red,К,6875,878.7,1389.5,1027.4,1581.3,8058340400013,1894.79,1799.99,,1529.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино LA CHIARA
сорт. орд. Гави депь Комуне ди Гави бел. сух. (Италия) 0. 75L",2736.84,1799.99,нет,8028554100009,-34%,270103711312,05.03.2026 13:06,01_025 009,Сухое,red,Ш,6875,863.0,888.5,1035.3,1107.7,8028554100009,2736.84,2599.99,,1799.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино LE FANTAISIES DE CAPION IGP
региона Лангедок бел. сух. (Франция)
0. 75L",1789.47,1299.99,нет,3760054949706,-27%,нет,25.02.2026 10:52,01_025 002-025 003,Сухое,red,К,6875,890.4,528.3,1097.9,763.2,3760054949706,1789.47,1699.99,,1299.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино ITALO CESCON
Пино Гриджо
Фриули DOC бел. сух. (Италия) 0. 75L",3153.69,2699.99,нет,4610094285519,-14%,нет,03.04.2026 3:03,01_025 009,Сухое,red,Ш,6875,937.4,109.5,1113.5,289.5,4610094285519,3153.69,2995.99,,2699.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино SANT
ORSOLA Coaве
бел. сух.
(Италия) 0. 75L",1473.68,899.99,нет,8005415001354,-38%,нет,03.02.2026 6:23,01_025 009,Сухое,red,К,14167,977.3,1825.7,1147.7,1991.8,8005415001354,1473.68,1399.99,,899.99,нет,,нет,,нет,нет
26_2-10.mp4,Вино IL ROCCHIN Gavi бел. сух. (Италия) 0. 75L ,2105.26,1799.99,нет,8051414170089,-14%,270109678456,нет,01_025 009,Сухое,red,Ш,14167,946.7,1419.2,1104.0,1607.2,8051414170089,2105.26,1999.99,,1799.99,нет,,нет,,нет,нет
26_2-10.mp4,Вино CIELO Треббьяно Пино Гриджо бел. п/ сух. (Италия) 0. 75L,1674.79,1019.99,нет,4690491103555,-39%,270109493645,нет,01_025 009,Полусухое,red,К,14167,933.5,1095.7,1090.9,1288.0,4690491103555,1674.79,1590.99,,1019.99,нет,,нет,,нет,нет
26_2-10.mp4,Вино CIELO Гарганега э Шардоне бел. п/ сух. (Италия) 0. 75L,1674.79,1019.99,нет,4690491187968,-39%,нет,03.02.2026 2:51,01_025 009,Полусухое,red,К,14167,942.3,619.3,1108.4,798.5,4690491187968,1674.79,1590.99,,1019.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино Sante Rive
Соаве ординарное бел. сух. (Италия)
0. 75L",1674.79,1019.99,нет,4690491103586,-39%,нет,нет,01_025 009,Сухое,red,К,14167,968.5,217.1,1139.0,392.0,4690491103586,1674.79,1590.99,,1019.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино HAAS
FRANZISKUS Пино
Гриджио сортовое орд. бел. сух.
(Италия) 0. 75L",2842.19,1999.99,нет,8032880181106,-29%,нет,нет,нет,Сухое,red,нет,17396,958.0,700.8,1106.9,876.8,8032880181106,2842.19,,,1999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино VIVALDI
Garganega Veneto
сорт. орд. бел. п/ сух. (Италия) 0. 75L",1578.94,999.99,нет,8032738680539,-36%,нет,25.03.2026 13:29,01_025 009,Полусухое,red,К,17396,998.6,182.9,1154.3,369.1,8032738680539,1578.94,1499.99,,999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино ANNA SPINATO
Diligo Пино Гриджио
Венето DOC сортовое бел. сух.
(Италия) 0. 75L",2526.31,1689.99,нет,8011204003614,-33%,нет,26.03.2026 0:27,01_025 009,Сухое,red,Ш,17396,1008.8,17.1,1184.8,176.1,8011204003614,2526.31,2399.99,,1689.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино BRUNI
Греканико Пино
Гридко ординарное
бел. п/ сух. (Италия)
0. 75L",1442.1,999.99,нет,4690491101735,-30%,нет,нет,01_025 009,Полусухое,red,К,19479,986.0,284.4,1123.1,438.7,4690491101735,1442.1,1369.99,,999.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино TRESCA
Grillo сорт. бел. сух. (Италия) 0.
75L",1263.15,899.99,нет,8055731671021,-28%,нет,нет,нет,нет,red,нет,26406,1032.2,1712.6,1171.3,1877.0,8055731671021,1263.15,1199.99,,899.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино 4 VOLTE
Bianco бел. сух
(Италия) 0. 75L",1673.68,1326.99,нет,8002793010770,-20%,нет,нет,01_025 009,нет,red,К,26406,998.5,1480.8,1146.0,1657.8,8002793010770,1673.68,1589.99,,1326.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино ROQUETA
Origen Sl Эстасьонес
Макабео Вердехо
орд. бел. сух
(Испания) 0. 75L",1263.15,917.99,нет,8411106085327,-27%,нет,04.01.2026 15:04,01_025 008,нет,red,К,26406,969.0,987.5,1116.5,1151.9,8411106085327,1263.15,,,917.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино VINA
ESMERALDA
бел. п/ сух.
(Испания) 0. 75L",1578.94,1099.99,нет,8410113001122,-30%,нет,03.04.2026 2:57,01_025 008,Сухое,red,К,26406,969.0,506.9,1120.7,679.8,8410113001122,1578.94,1499.99,,1099.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино FAUSTINO
RIVERO ULECIA
Chardonnay орд. сорт. бел. сух. (Испания)
0. 75L",1368.42,1159.99,нет,8412176000715,-15%,нет,нет,01_025 008,Сухое,red,К,26406,977.4,89.6,1141.8,270.9,8412176000715,1368.42,1299.99,,1159.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино FAUSTINO
RIVERO ULECIA
Macabeo орд. сорт. бел. сух. (Испания)
0. 75L",1368.42,1159.99,нет,8412176000289,-15%,нет,26.02.2026 1:12,01_025 008,Сухое,red,К,29792,930.2,819.0,1081.1,1004.8,8412176000289,1368.42,1299.99,,1159.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино PIEDRA DEL
MAR Риас Байшас
DO ординарное сортовое бел. сух.
(Испания) 0. 75L",3157.89,1949.0,нет,4680114015273,-38%,нет,нет,нет,Сухое,red,нет,29792,937.2,368.5,1097.4,540.3,4680114015273,3157.89,2999.99,,1949.0,нет,,нет,,нет,нет
26_2-10.mp4,"Вино VEGA SINDOA
Шардоне Нексас
сорт. орд. Наварра бел. сух. (Испания)
0. 75L",1578.94,1325.99,нет,8425778060001,-16%,нет,04.01.2026 15:04,01_025 008,Сухое,red,К,31771,937.3,356.2,1104.2,544.0,8425778060001,1578.94,1499.99,,1325.99,нет,,нет,,нет,нет
26_2-10.mp4,"Вино TREVO Branco
Винью Верде ордин. бел. сух.
(Португалия) 0. 75L",1684.2,1325.99,нет,5604242005868,-21%,нет,04.01.2026 15:04,01_025 008,Сухое,red,К,31771,967.4,117.4,1127.4,302.9,5604242005868,1684.2,1599.99,,1325.99,нет,,нет,,нет,нет
